id, content, category
1, 【ポケモン新作 Switchで発売へ】「ポケットモンスター」シリーズ最新作がNintendo Switchで2018年以降に発売。米ゲーム見本市で発表された。, 0
2, 【HISを書類送検へ 違法残業か】従業員2人に違法な長時間労働をさせた疑いで、厚生労働省は大手旅行会社HISを書類送検する方針。同社幹部2人も摘発。, 0
3, 【若者6割 ネット空間が居場所】内閣府の調査で若者の6割超がネット空間が「自分の居場所」だと思うと回答。「学校」や「職場」よりも高かった。, 0
4, 【あなそれ 不倫名作と違う魅力】「あなたのことはそれほど」（TBS系）が、他の不倫ドラマと違うところは。一線越えまでの垣根の低さ、飲食シーンの多さなど。, 4
5, 【北が釈放の米学生 昏睡状態か】北朝鮮は昨年拘束した米国人大学生を釈放。家族によると強制労働収容所に収監されていた1年半の間に昏睡状態に陥ったとされる。, 3
6, 【赤ちゃんパンダ 母乳飲んだ】上野動物園で5年ぶりに誕生したジャイアントパンダの赤ちゃんが母乳を飲み始めている。「育児のサイクルができてきた」という。, 0
7, 【バターに低関税検討 日欧EPA】日本とEUとの経済連携協定交渉で日本がバターと脱脂粉乳に低関税輸入枠の新設を検討。乳製品市場の開放を求めるEUと決着か。, 0
8, 【巨人菅野が涙の7勝 10K完投】巨人・菅野がソフトバンク戦で10三振を奪う快投。悔しさと、ふがいなさ、この2週間で味わったものが涙となって頬を伝った。, 2
9, 【米司法長官 露疑惑驚きのうそ】アメリカのトランプ政権とロシアをめぐる疑惑で、セッションズ司法長官が議会で証言。疑惑について「驚きのうそだ」と強調。, 3
10, 【流血の本田 若手や戦術に苦言】サッカーW杯アジア最終予選で日本はイラクと引き分け。流血する死闘でフル出場したFW本田は苦言やハリルJ戦術にダメ出しも。, 2
11, 【諮問会議 加計ありき全くない】「加計学園」の獣医学部新設計画を巡り、国家戦略特区諮問会議の民間議員らが反論。「規制改革のプロセスに一点の曇りもない」。, 3
12, 【高橋監督 退任GMにおわび】13連敗を喫した巨人は、堤GMが退任して鹿取GMが就任。高橋監督は慶大野球部先輩の堤前GMに「おわびしました」。, 2
13, 【台本なし ピコ太郎がアニメ化】ピコ太郎を主人公としたテレビアニメの放送が決定した。アニメ界の常識では考えられない「台本なし」の物語創りに挑戦する。, 1
14, 【ウーバーCEO 無期限の休職へ】米配車アプリ大手ウーバーのトラビス・カラニックCEOが、無期限の休職へ。同社内では不祥事などが相次いでいるとされる。, 0
15, 【「共謀罪」法案 週内成立へ】「共謀罪」法案が週内に成立する見通し。与党は15日に参院委で採決し、16日までに参院本会議で可決、成立させる方針。, 3
16, 【けが人続出 ハリル氏戦略崩壊】W杯アジア最終予選で、日本はイラクとドロー。ハリル監督は「最後の15分は全く違う戦略の予定だった」とけが人続出を嘆いた。, 2
17, 【マリオ最新作 10月27日発売】ニンテンドースイッチ用ソフト「スーパーマリオ オデッセイ」が10月27日に発売される。約15年ぶりとなる箱庭探索型。, 0
18, 【給食牛乳に異臭 原因は風味差】茨城県内の学校給食の牛乳を飲んだ児童生徒ら3千人以上が違和感を訴えた問題で、県は原因を「風味差異の問題」と結論付けた。, 0
19, 【北朝鮮 拘束の米学生を解放】AP通信によると、米国務長官は、北朝鮮で2016年に拘束された米国人学生が解放されたと明らかにした。既に帰国の途に。, 3
20, 【加計再調査結果 今日にも公表】加計学園を巡る「総理の意向」文書の再調査について、文科省は14日に結果を公表する方針。野党は内閣府も調査すべきと追及。, 3
21, 【ハリル氏 失点「何起きたか」】W杯アジア最終予選で、日本はイラクと1-1でドロー。ハリルホジッチ監督は失点場面について「何が起きたか分かっていない」。, 2
22, 【ハリルJ 先制もイラクと1-1】ロシアW杯・アジア最終予選のイラク戦で、日本はFW大迫勇也のゴールで先制も、後半に同点とされドロー。, 2
23, 【速報イラク戦 同点弾許す】ロシアW杯・アジア最終予選、イラクvs.日本を速報。引き分け以上の結果を残せば、日本はW杯出場権獲得に王手。, 2
24, 【月面で蚕など生育実験へ 中国】中国が18年打ち上げ予定の月面無人探査機で、蚕やジャガイモなどの生育実験を計画。月面での生物実験は人類初になるという。, 5
25, 【猛毒「ヒアリ」国内で初確認】環境省は、特定外来生物で強い毒を持つ南米原産の「ヒアリ」が、国内で初めて確認されたと発表。中国でコンテナ内部に付着か。, 0
26, 【女生徒わいせつ 漫画まねた】放射能検査と称して女子中学生に触った容疑で逮捕された男が、漫画を読んでまねたと供述。県警が作者に異例の申し入れ。, 0
27, 【市職員 女性情報を不正に入手】市のシステムを不正使用して同僚女性の個人情報を入手し、ストーカー行為をしたとして、熊本県荒尾市が、職員を懲戒免職処分。, 0
28, 【北兵士 軍事境界線越え亡命】韓国軍合同参謀本部は、北朝鮮の兵士1人が軍事境界線を越え、亡命を求めてきたと明らかにした。交戦は発生していないという。, 3
29, 【北方領土に日本人観光客か】日本人を含む外国人観光客が北方領土の択捉島を訪問と露報道。日本政府は日本国民に北方四島へ入域しないよう要請している。, 3
30, 【空自C2 開発中も同様不具合】鳥取県の米子空港で9日、草地に突っ込んだ空自輸送機C2は開発中にも同様の不具合。開発完了が発表されたばかりの新型機。, 3
31, 【北兵士1人 軍事境界線越える】韓国軍は北兵士1人が北中部の南北軍事境界線を越えて韓国側に入ったと明らかに。昨年9月にも兵士1人が境界線を越え韓国亡命。, 3
32, 【皇太子さま 皇位継承に言及】皇太子さまが、象徴天皇としての務めを「全身全霊で取り組んでまいりたい」と述べた。皇位継承に関して発言したのは初。, 6
33, 【速報イラク戦 大迫が先制弾】ロシアW杯・アジア最終予選、イラクvs.日本を速報。引き分け以上の結果を残せば、日本はW杯出場権獲得に王手。, 2
34, 【加計再調査結果 あすにも公表】加計学園を巡る「総理の意向」文書の再調査について、文科省は14日に結果を公表する方針。野党は内閣府も調査すべきと追及。, 3
35, 【速報アジア最終予選 イラク戦】ロシアW杯・アジア最終予選、イラクvs.日本を速報。引き分け以上の結果を残せば、日本はW杯出場権獲得に王手。, 2
36, 【無罪 遺族ら「納得できない」】福知山線脱線事故でJR西日本の歴代3社長の無罪が確定することに対し、遺族は「納得できない」などと悔しさをあらわにした。, 0
37, 【イラク戦 本田5試合ぶり先発】ロシアW杯アジア最終予選・イラク戦の先発メンバーが発表された。31歳の誕生日の本田は代表戦5試合ぶりのスタメン。, 2
38, 【キアヌ アッコとあの鐘鳴らす】キアヌ・リーブスが、主演映画イベントで和田アキ子とヒット祈願の鐘を鳴らす。監督は和田に「オヤブン」役で映画出演を提案。, 1
